"state"
"Chihuahua"
"Guanajuato"
"Hidalgo"
"Jalisco"
"Mexico"
"Michoacan"
"Morelos"
"Nuevo Leon"
"Oaxaca"
"Puebla"
"Queretaro"
"San Luis Potosi"
"San Luis Potos¡"
"Tabasco"
"Tlaxcala"
"Veracruz"
"Yucatan"
"Zacatecas"
